sale_id,store_id
1,2
2,4
3,1
4,3
5,4
6,1
7,1
8,2
9,2
10,2
11,5
12,4
13,2
14,1
15,1
16,5
17,5
18,3
19,3
20,5
21,1
22,1
23,4
24,2
25,3
26,2
27,4
28,3
29,4
30,5
31,4
32,3
33,3
34,3
35,5
36,5
37,4
38,1
39,3
40,2
41,2
42,5
43,4
44,3
45,2
46,2
47,5
48,2
49,3
50,1
51,5
52,4
53,3
54,2
55,4
56,1
57,1
58,3
59,3
60,3
61,1
62,1
63,5
64,1
65,3
66,5
67,4
68,3
69,4
70,4
71,3
72,2
73,2
74,2
75,1
76,5
77,1
78,1
79,1
80,4
81,1
82,3
83,2
84,2
85,4
86,3
87,4
88,5
89,4
90,1
91,2
92,3
93,5
94,2
95,5
96,2
97,5
98,2
99,5
100,4
101,3
102,5
103,1
104,4
105,5
106,4
107,3
108,5
109,4
110,2
111,5
112,2
113,2
114,4
115,1
116,2
117,2
118,4
119,4
120,5
121,5
122,2
123,3
124,2
125,4
126,3
127,4
128,3
129,1
130,1
131,1
132,2
133,4
134,5
135,5
136,4
137,4
138,2
139,3
140,5
141,2
142,1
143,1
144,4
145,4
146,4
147,3
148,4
149,4
150,3
151,1
152,4
153,1
154,5
155,3
156,3
157,4
158,1
159,1
160,3
161,4
162,1
163,3
164,4
165,3
166,5
167,2
168,1
169,3
170,5
171,2
172,1
173,1
174,4
175,3
176,2
177,2
178,3
179,4
180,2
181,3
182,2
183,3
184,1
185,5
186,4
187,1
188,1
189,2
190,2
191,3
192,2
193,1
194,1
195,4
196,4
197,1
198,2
199,5
200,5
201,5
202,5
203,1
204,1
205,3
206,3
207,1
208,1
209,3
210,2
211,2
212,2
213,2
214,3
215,4
216,4
217,1
218,2
219,5
220,2
221,5
222,4
223,4
224,3
225,2
226,1
227,4
228,2
229,1
230,4
231,2
232,4
233,3
234,1
235,1
236,4
237,4
238,3
239,3
240,4
241,2
242,4
243,5
244,2
245,3
246,3
247,3
248,4
249,2
250,1
251,2
252,5
253,3
254,3
255,3
256,2
257,2
258,3
259,2
260,1
261,2
262,4
263,2
264,5
265,1
266,5
267,1
268,4
269,1
270,1
271,2
272,3
273,3
274,5
275,2
276,5
277,4
278,1
279,5
280,1
281,1
282,3
283,2
284,4
285,3
286,5
287,4
288,3
289,5
290,1
291,5
292,4
293,1
294,5
295,5
296,5
297,3
298,2
299,2
300,4
301,5
302,5
303,3
304,2
305,2
306,4
307,3
308,4
309,1
310,3
311,2
312,3
313,5
314,3
315,3
316,5
317,2
318,2
319,2
320,1
321,2
322,1
323,3
324,5
325,2
326,1
327,3
328,5
329,5
330,5
331,5
332,1
333,3
334,2
335,2
336,1
337,3
338,1
339,4
340,2
341,2
342,2
343,3
344,4
345,3
346,4
347,2
348,1
349,3
350,3
351,4
352,5
353,3
354,1
355,3
356,2
357,2
358,1
359,2
360,5
361,5
362,2
363,5
364,3
365,2
366,1
367,1
368,5
369,1
370,3
371,5
372,4
373,3
374,3
375,3
376,2
377,1
378,3
379,1
380,5
381,4
382,4
383,2
384,4
385,5
386,1
387,4
388,2
389,5
390,4
391,5
392,1
393,5
394,4
395,2
396,3
397,5
398,3
399,5
400,3
401,2
402,1
403,2
404,4
405,5
406,2
407,3
408,2
409,2
410,3
411,5
412,3
413,5
414,4
415,3
416,4
417,4
418,1
419,1
420,1
421,3
422,1
423,1
424,4
425,5
426,2
427,5
428,4
429,5
430,2
431,2
432,4
433,4
434,3
435,1
436,4
437,3
438,3
439,5
440,2
441,3
442,5
443,4
444,5
445,1
446,5
447,1
448,3
449,1
450,2
451,4
452,3
453,1
454,4
455,2
456,4
457,2
458,4
459,5
460,1
461,5
462,1
463,5
464,4
465,1
466,2
467,5
468,2
469,1
470,2
471,4
472,3
473,4
474,5
475,4
476,5
477,3
478,4
479,5
480,5
481,1
482,1
483,4
484,1
485,5
486,5
487,5
488,2
489,4
490,5
491,2
492,3
493,3
494,4
495,5
496,4
497,3
498,4
499,5
500,2
501,3
502,2
503,2
504,2
505,5
506,2
507,4
508,2
509,5
510,2
511,4
512,3
513,1
514,4
515,4
516,3
517,2
518,2
519,1
520,5
521,2
522,2
523,5
524,3
525,3
526,4
527,3
528,3
529,3
530,5
531,4
532,1
533,3
534,1
535,4
536,5
537,4
538,4
539,5
540,5
541,5
542,4
543,1
544,1
545,3
546,3
547,4
548,2
549,4
550,2
551,3
552,2
553,2
554,3
555,2
556,2
557,4
558,5
559,1
560,4
561,1
562,1
563,4
564,4
565,4
566,2
567,1
568,4
569,4
570,5
571,1
572,5
573,1
574,2
575,5
576,3
577,2
578,3
579,3
580,5
581,3
582,1
583,4
584,2
585,4
586,2
587,2
588,4
589,4
590,5
591,3
592,5
593,3
594,1
595,4
596,1
597,2
598,3
599,2
600,1
601,1
602,4
603,4
604,1
605,1
606,2
607,5
608,5
609,5
610,5
611,4
612,1
613,4
614,4
615,5
616,1
617,3
618,4
619,1
620,1
621,4
622,1
623,4
624,1
625,4
626,1
627,3
628,4
629,3
630,3
631,3
632,4
633,3
634,5
635,2
636,3
637,2
638,1
639,5
640,2
641,3
642,1
643,3
644,2
645,2
646,4
647,5
648,1
649,1
650,4
651,4
652,4
653,2
654,2
655,3
656,4
657,1
658,4
659,1
660,2
661,3
662,2
663,2
664,3
665,1
666,2
667,4
668,2
669,2
670,1
671,3
672,3
673,2
674,3
675,2
676,2
677,2
678,5
679,2
680,2
681,4
682,5
683,1
684,1
685,1
686,1
687,2
688,1
689,4
690,2
691,3
692,3
693,3
694,1
695,4
696,4
697,2
698,2
699,3
700,3
701,2
702,2
703,4
704,4
705,5
706,4
707,4
708,2
709,3
710,2
711,2
712,5
713,3
714,2
715,2
716,3
717,1
718,3
719,5
720,4
721,2
722,1
723,5
724,5
725,4
726,3
727,1
728,2
729,4
730,4
731,2
732,1
733,5
734,3
735,5
736,1
737,4
738,1
739,4
740,4
741,3
742,1
743,1
744,1
745,4
746,2
747,1
748,5
749,3
750,2
751,4
752,2
753,5
754,4
755,1
756,3
757,2
758,5
759,3
760,3
761,4
762,4
763,3
764,4
765,2
766,2
767,1
768,2
769,1
770,3
771,4
772,3
773,1
774,2
775,1
776,2
777,5
778,5
779,1
780,5
781,2
782,2
783,2
784,3
785,3
786,4
787,4
788,1
789,1
790,2
791,1
792,4
793,4
794,4
795,5
796,5
797,1
798,4
799,4
800,1
801,4
802,3
803,5
804,1
805,2
806,5
807,1
808,3
809,1
810,5
811,5
812,2
813,1
814,5
815,3
816,1
817,1
818,4
819,1
820,4
821,1
822,2
823,2
824,3
825,1
826,4
827,4
828,1
829,1
830,2
831,2
832,1
833,3
834,3
835,5
836,3
837,5
838,2
839,3
840,3
841,2
842,1
843,2
844,1
845,3
846,4
847,3
848,3
849,1
850,3
851,5
852,1
853,4
854,4
855,5
856,1
857,5
858,5
859,2
860,4
861,1
862,4
863,1
864,4
865,1
866,3
867,5
868,1
869,5
870,5
871,1
872,3
873,2
874,5
875,1
876,3
877,5
878,1
879,2
880,1
881,4
882,3
883,1
884,1
885,3
886,4
887,4
888,1
889,2
890,5
891,5
892,1
893,3
894,4
895,5
896,1
897,3
898,1
899,2
900,5
901,4
902,4
903,5
904,1
905,1
906,2
907,1
908,5
909,5
910,2
911,2
912,3
913,4
914,4
915,4
916,2
917,1
918,5
919,1
920,1
921,5
922,3
923,2
924,2
925,4
926,4
927,4
928,5
929,5
930,4
931,5
932,1
933,4
934,1
935,2
936,1
937,1
938,5
939,4
940,1
941,1
942,4
943,1
944,5
