store_id,product_id,quantity
1,69,128
1,58,135
1,18,40
1,55,14
1,24,130
1,36,20
1,60,47
1,32,17
1,10,152
1,57,17
1,71,172
1,13,60
1,7,103
1,84,30
1,70,145
1,2,63
1,12,148
1,31,152
1,22,10
1,53,158
1,63,20
1,62,107
1,28,168
1,52,149
1,8,144
1,82,133
1,49,80
1,1,66
1,50,52
1,34,171
1,59,183
1,37,80
1,97,61
1,80,67
1,20,101
1,25,33
1,38,171
1,14,165
1,79,76
1,4,117
1,64,80
1,48,192
1,35,18
1,61,2
1,86,117
1,21,159
1,91,144
1,54,25
1,94,18
1,83,137
2,28,113
2,65,141
2,34,180
2,17,109
2,45,143
2,9,2
2,32,28
2,48,19
2,37,176
2,21,38
2,57,139
2,70,9
2,39,94
2,79,149
2,84,141
2,68,37
2,2,110
2,71,32
2,88,10
2,14,78
2,18,93
2,98,10
2,15,91
2,81,53
2,83,174
2,20,63
2,35,170
2,92,26
2,27,90
2,44,199
2,72,143
2,87,104
2,99,158
2,63,191
2,33,39
2,7,60
2,12,41
2,41,45
2,100,105
2,54,6
2,80,45
2,3,188
2,1,85
2,22,200
2,50,105
2,95,171
2,67,188
2,97,63
2,11,68
2,93,40
3,90,184
3,14,189
3,49,188
3,5,171
3,61,50
3,29,93
3,26,110
3,59,17
3,45,170
3,40,84
3,30,159
3,95,80
3,4,169
3,85,31
3,25,184
3,52,76
3,43,129
3,36,79
3,9,170
3,83,104
3,92,83
3,66,103
3,87,178
3,69,75
3,84,141
3,88,32
3,15,49
3,34,107
3,23,170
3,73,97
3,97,173
3,99,191
3,56,44
3,80,157
3,41,145
3,68,77
3,74,103
3,86,140
3,58,0
3,37,77
3,13,73
3,17,53
3,3,110
3,46,148
3,28,155
3,1,167
3,71,82
3,78,119
3,35,113
3,44,113
4,87,170
4,28,135
4,66,143
4,61,152
4,95,81
4,22,193
4,85,113
4,11,156
4,37,184
4,98,129
4,94,109
4,82,140
4,80,114
4,43,40
4,12,190
4,31,121
4,40,115
4,29,66
4,26,192
4,19,63
4,4,163
4,6,70
4,32,196
4,97,199
4,10,133
4,59,124
4,54,160
4,25,61
4,50,70
4,64,112
4,52,19
4,78,182
4,81,73
4,1,60
4,14,69
4,55,85
4,83,81
4,86,138
4,70,20
4,45,35
4,34,38
4,30,59
4,88,98
4,36,177
4,16,39
4,65,180
4,8,54
4,75,16
4,9,106
4,53,104
5,43,83
5,70,54
5,60,116
5,54,83
5,8,86
5,27,194
5,97,97
5,50,71
5,75,192
5,90,107
5,3,64
5,74,20
5,49,120
5,62,4
5,1,191
5,46,138
5,39,13
5,93,89
5,94,57
5,69,166
5,99,17
5,78,199
5,29,166
5,63,10
5,79,193
5,35,7
5,56,63
5,77,51
5,4,5
5,83,159
5,44,39
5,52,61
5,22,32
5,98,121
5,17,171
5,72,29
5,51,144
5,38,55
5,37,119
5,100,179
5,2,65
5,6,196
5,42,94
5,28,42
5,9,155
5,30,155
5,12,191
5,65,183
5,66,29
5,25,199
