id,sale_timestamp,total_amount,store_id,employee_id,customer_id
1,2025-02-17 08:52:51,3740.53,2,11,2
2,2024-10-30 02:40:06,6881.95,4,18,4
3,2025-02-06 16:07:46,1993.25,1,25,2
4,2024-04-19 17:32:41,12710.13,3,2,2
5,2024-05-18 01:52:30,11934.31,4,23,3
6,2024-02-08 06:53:15,5823.12,1,20,2
7,2023-10-18 09:32:59,6881.30,1,10,6
8,2024-11-10 07:50:50,16320.03,2,11,2
9,2025-01-04 00:14:38,6994.48,2,6,2
10,2023-08-09 01:56:32,4465.53,2,11,2
11,2023-07-04 08:26:19,1757.99,5,14,3
12,2023-12-29 20:28:09,9138.74,4,18,2
13,2023-07-28 03:53:13,18216.93,2,1,2
14,2024-09-07 12:20:37,6042.03,1,10,2
15,2023-09-21 13:58:46,7136.37,1,20,3
16,2023-08-20 03:35:07,2897.01,5,9,3
17,2024-08-27 04:25:29,11573.20,5,14,2
18,2024-09-02 22:02:16,4406.10,3,2,2
19,2023-06-08 02:43:23,1341.26,3,22,4
20,2024-05-22 10:46:15,5833.77,5,19,2
21,2024-01-27 08:57:34,9528.47,1,10,2
22,2024-01-29 02:15:36,14395.98,1,20,2
23,2024-04-27 07:04:33,3835.05,4,3,2
24,2025-02-01 20:17:16,8175.46,2,6,3
25,2025-05-16 09:54:47,10736.86,3,22,2
26,2024-06-20 18:17:48,7270.66,2,1,2
27,2024-10-16 14:11:14,15692.22,4,8,2
28,2023-06-25 21:38:40,10830.24,3,17,6
29,2025-04-29 03:51:46,4636.88,4,3,2
30,2024-02-09 23:14:19,7242.47,5,19,2
31,2024-01-23 22:59:30,816.94,4,23,2
32,2023-11-21 08:26:04,3397.03,3,7,5
33,2023-09-29 05:15:51,913.57,3,2,2
34,2024-01-05 20:46:18,17335.34,3,12,5
35,2024-06-12 13:11:23,7735.89,5,9,2
36,2024-10-30 07:34:56,3119.50,5,9,2
37,2024-09-30 06:40:50,10789.99,4,13,2
38,2024-08-04 13:40:53,8820.98,1,25,4
39,2024-08-15 04:02:19,5201.70,3,7,9
40,2023-10-25 23:05:10,11079.62,2,21,2
